Section,Title,Description
121,Voluntarily causing hurt or grievous hurt to deter public servant from his duty.—(1),Whoever voluntarily causes hurt to any person being a public servant in the discharge of his duty as such
121,Voluntarily causing hurt or grievous hurt to deter public servant from his duty.,122. Voluntarily causing hurt or grievous hurt on provocation.
122,Voluntarily causing hurt or grievous hurt on provocation.—(1) Whoever voluntarily causes,"hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause hurt"
123,"Causing hurt by means of poison, etc., with intent to commit an offence.","124. Voluntarily causing grievous hurt by use of acid, etc."
124,"Voluntarily causing grievous hurt by use of acid, etc.—(1) Whoever causes permanent or","partial damage or deformity to, or burns or maims or disfigures or disables, any part or parts of the body"
125,Act endangering life or personal safety of others.,Of wrongful restraint and wrongful confinement
125,Act endangering life or personal safety of others.—Whoever does any act so rashly or,"negligently as to endanger human life or the personal safety of others, shall be punished with"
126,Wrongful restraint.—(1) Whoever voluntarily obstructs any person so as to prevent that person,"from proceeding in any direction in which that person has a right to proceed, is said wrongfully to restrain"
126,Wrongful restraint.,127. Wrongful confinement.
127,Wrongful confinement.—(1) Whoever wrongfully restrains any person in such a manner as to,"prevent that person from proceedings beyond certain circumscribing limits, is said “wrongfully to"
128,"Force.—A person is said to use force to another if he causes motion, change of motion, or","cessation of motion to that other, or if he causes to any substance such motion, or change of motion, or"
128,Force.,129. Criminal force.
129,"Criminal force.—Whoever intentionally uses force to any person, without that person’s","consent, in order to the committing of any offence, or intending by the use of such force to cause, or"
130,"Assault.—Whoever makes any gesture, or any preparation intending or knowing it to be likely",that such gesture or preparation will cause any person present to apprehend that he who makes that
130,Assault.,131. Punishment for assault or criminal force otherwise than on grave provocation.
131,"Of kidnapping, abduction, slavery and forced labour","137. Kidnapping.—(1) Kidnapping is of two kinds: kidnapping from India, and kidnapping from"
131,Punishment for assault or criminal force otherwise than on grave provocation.—Whoever,assaults or uses criminal force to any person otherwise than on grave and sudden provocation given by
132,Assault or criminal force to deter public servant from discharge of his duty.,"133. Assault or criminal force with intent to dishonour person, otherwise than on grave"
132,Assault or criminal force to deter public servant from discharge of his duty.—Whoever,assaults or uses criminal force to any person being a public servant in the execution of his duty as such
133,"Assault or criminal force with intent to dishonour person, otherwise than on grave","provocation.—Whoever assaults or uses criminal force to any person, intending thereby to dishonour"
134,Assault or criminal force in attempt to commit theft of property carried by a person.,135. Assault or criminal force in attempt to wrongfully confine a person.
134,Assault or criminal force in attempt to commit theft of property carried by a person.—,"Whoever assaults or uses criminal force to any person, in attempting to commit theft on any property"
135,Assault or criminal force in attempt to wrongfully confine a person.—Whoever assaults or,"uses criminal force to any person, in attempting wrongfully to confine that person, shall be punished with"
136,Assault or criminal force on grave provocation.—Whoever assaults or uses criminal force to,"any person on grave and sudden provocation given by that person, shall be punished with simple"
136,Assault or criminal force on grave provocation.,"Of kidnapping, abduction, slavery and forced labour"
137,Kidnapping.,138. Abduction.
138,"Abduction.—Whoever by force compels, or by any deceitful means induces, any person to go","from any place, is said to abduct that person."
139,"Kidnapping or maiming a child for purposes of begging.—(1) Whoever kidnaps any child or,","not being the lawful guardian of such child, obtains the custody of the child, in order that such child may"
139,Kidnapping or maiming a child for purposes of begging.,"140. Kidnapping or abducting in order to murder or for ransom, etc."
140,"Kidnapping or abducting in order to murder or for ransom, etc.—(1) Whoever kidnaps or",abducts any person in order that such person may be murdered or may be so disposed of as to be put in
141,Importation of girl or boy from foreign country.—Whoever imports into India from any,country outside India any girl under the age of twenty-one years or any boy under the age of eighteen
142,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person.",143. Trafficking of person.
142,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person.—","Whoever, knowing that any person has been kidnapped or has been abducted, wrongfully conceals or"
143,"Trafficking of person.—(1) Whoever, for the purpose of exploitation recruits, transports,","harbours, transfers, or receives a person or persons, by—"
144,"Exploitation of a trafficked person.—(1) Whoever, knowingly or having reason to believe that","a child has been trafficked, engages such child for sexual exploitation in any manner, shall be punished"
144,Exploitation of a trafficked person.,145. Habitual dealing in slaves.
145,"Habitual dealing in slaves.—Whoever habitually imports, exports, removes, buys, sells, traffics","or deals in slaves, shall be punished with imprisonment for life, or with imprisonment of either"
146,Unlawful compulsory labour.,CHAPTER VII
146,Unlawful compulsory labour.—Whoever unlawfully compels any person to labour against the,"will of that person, shall be punished with imprisonment of either description for a term which may"
147,"Waging, or attempting to wage war, or abetting waging of war, against Government of",India.
147,"Waging, or attempting to wage war, or abetting waging of war, against Government of","India.—Whoever wages war against the Government of India, or attempts to wage such war, or abets the"
148,Conspiracy to commit offences punishable by section 147.,"149. Collecting arms, etc., with intention of waging war against Government of India."
148,Conspiracy to commit offences punishable by section 147.—Whoever within or without and,"beyond India conspires to commit any of the offences punishable by section 147, or conspires to"
149,"Collecting arms, etc., with intention of waging war against Government of India.—","Whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of"
150,Concealing with intent to facilitate design to wage war.,"151. Assaulting President, Governor, etc., with intent to compel or restrain exercise of any lawful"
150,"Concealing with intent to facilitate design to wage war.—Whoever by any act, or by any","illegal omission, conceals the existence of a design to wage war against the Government of India,"
151,"Assaulting President, Governor, etc., with intent to compel or restrain exercise of any","lawful power.—Whoever, with the intention of inducing or compelling the President of India, or"
152,"Act endangering sovereignty, unity and integrity of India.",153. Waging war against Government of any foreign State at peace with Government of India.
152,"Act endangering sovereignty, unity and integrity of India.—Whoever, purposely or","knowingly, by words, either spoken or written, or by signs, or by visible representation, or by electronic"
153,Waging war against Government of any foreign State at peace with Government of,India.—Whoever wages war against the Government of any foreign State at peace with the Government
154,Committing depredation on territories of foreign State at peace with Government of India.,155. Receiving property taken by war or depredation mentioned in sections 153 and 154.
154,Committing depredation on territories of foreign State at peace with Government of,"India.—Whoever commits depredation, or makes preparations to commit depredation, on the territories"
155,Receiving property taken by war or depredation mentioned in sections 153 and 154.—,Whoever receives any property knowing the same to have been taken in the commission of any of the
156,Public servant voluntarily allowing prisoner of State or war to escape.,157. Public servant negligently suffering such prisoner to escape.
156,"Public servant voluntarily allowing prisoner of State or war to escape.—Whoever, being a","public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such"
157,"Public servant negligently suffering such prisoner to escape.—Whoever, being a public","servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner"
158,"Aiding escape of, rescuing or harbouring such prisoner.",CHAPTER VIII
158,"Aiding escape of, rescuing or harbouring such prisoner.—Whoever knowingly aids or assists","any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue"
159,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty.—","Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or"
159,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty.","160. Abetment of mutiny, if mutiny is committed in consequence thereof."
160,"Abetment of mutiny, if mutiny is committed in consequence thereof.—Whoever abets the","committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the"
161,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution","of his office.—Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air"
161,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of",his office.
162,"Abetment of such assault, if assault committed.","163. Abetment of desertion of soldier, sailor or airman."
162,"Abetment of such assault, if assault committed.—Whoever abets an assault by an officer,","soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior"
163,"Abetment of desertion of soldier, sailor or airman.—Whoever abets the desertion of any","officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall be"
164,Harbouring deserter.,165. Deserter concealed on board merchant vessel through negligence of master.
164,"Harbouring deserter.—Whoever, except as hereinafter excepted, knowing or having reason to","believe that an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of"
165,Deserter concealed on board merchant vessel through negligence of master.—The master or,"person in charge of a merchant vessel, on board of which any deserter from the Army, Navy or Air Force"
166,"Abetment of act of insubordination by soldier, sailor or airman.—Whoever abets what he","knows to be an act of insubordination by an officer, soldier, sailor or airman, in the Army, Navy or Air"
166,"Abetment of act of insubordination by soldier, sailor or airman.",167. Persons subject to certain Acts.
167,"Persons subject to certain Acts.—No person subject to the Air Force Act, 1950 (45 of 1950),","the Army Act, 1950 (46 of 1950) and the Navy Act, 1957 (62 of 1957), or shall be subject to punishment"
168,"Wearing garb or carrying token used by soldier, sailor or airman.—Whoever, not being a","soldier, sailor or airman in the Army, Naval or Air service of the Government of India, wears any garb or"
168,"Wearing garb or carrying token used by soldier, sailor or airman.",CHAPTER IX
169,"Candidate, electoral right defined.—For the purposes of this Chapter—",(a) “candidate” means a person who has been nominated as a candidate at any election;
170,Bribery.—(1) Whoever—,(i) gives a gratification to any person with the object of inducing him or any other person to
170,Bribery.,171. Undue influence at elections.
171,Undue influence at elections.—(1) Whoever voluntarily interferes or attempts to interfere with,the free exercise of any electoral right commits the offence of undue influence at an election.
172,Personation at elections.—Whoever at an election applies for a voting paper on votes in the,"name of any other person, whether living or dead, or in a fictitious name, or who having voted once at"
172,Personation at elections.,173. Punishment for bribery.
173,Punishment for bribery.—Whoever commits the offence of bribery shall be punished with,"imprisonment of either description for a term which may extend to one year, or with fine, or with both:"
174,Punishment for undue influence or personation at an election.—Whoever commits the,offence of undue influence or personation at an election shall be punished with imprisonment of either
174,Punishment for undue influence or personation at an election.,175. False statement in connection with an election.
175,False statement in connection with an election.—Whoever with intent to affect the result of,an election makes or publishes any statement purporting to be a statement of fact which is false and
176,Illegal payments in connection with an election.—Whoever without the general or special,authority in writing of a candidate incurs or authorises expenses on account of the holding of any public
176,Illegal payments in connection with an election.,177. Failure to keep election accounts.
177,Failure to keep election accounts.—Whoever being required by any law for the time being in,force or any rule having the force of law to keep accounts of expenses incurred at or in connection with
178,"Counterfeiting coin, Government stamps, currency-notes or bank-notes.","179. Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or"
178,"Counterfeiting coin, Government stamps, currency-notes or bank-notes.—Whoever","counterfeits, or knowingly performs any part of the process of counterfeiting, any coin, stamp issued by"
179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-","notes.—Whoever imports or exports, or sells or delivers to, or buys or receives from, any other person, or"
180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-","notes.—Whoever has in his possession any forged or counterfeit coin, stamp, currency-note or bank-note,"
180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes.","181. Making or possessing instruments or materials for forging or counterfeiting coin,"
181,"Making or possessing instruments or materials for forging or counterfeiting coin,","Government stamp, currency-notes or bank-notes.—Whoever makes or mends, or performs any part"
182,Making or using documents resembling currency-notes or bank-notes.—(1) Whoever,"makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any"
182,Making or using documents resembling currency-notes or bank-notes.,"183. Effacing writing from substance bearing Government stamp, or removing from document a"
183,"Effacing writing from substance bearing Government stamp, or removing from document","a stamp used for it, with intent to cause loss to Government.—Whoever, fraudulently or with intent to"
184,Using Government stamp known to have been before used.,185. Erasure of mark denoting that stamp has been used.
184,"Using Government stamp known to have been before used.—Whoever, fraudulently or with","intent to cause loss to the Government, uses for any purpose a stamp issued by Government for the"
185,"Erasure of mark denoting that stamp has been used.—Whoever, fraudulently or with intent","to cause loss to Government, erases or removes from a stamp issued by Government for the purpose of"
186,Prohibition of fictitious stamps.—(1) Whoever—,"(a) makes, knowingly utters, deals in or sells any fictitious stamp, or knowingly uses for any"
186,Prohibition of fictitious stamps.,187. Person employed in mint causing coin to be of different weight or composition from that
187,Person employed in mint causing coin to be of different weight or composition from that,"fixed by law.—Whoever, being employed in any mint lawfully established in India, does any act, or"
188,"Unlawfully taking coining instrument from mint.—Whoever, without lawful authority, takes","out of any mint, lawfully established in India, any coining tool or instrument, shall be punished with"
188,Unlawfully taking coining instrument from mint.,CHAPTER XI
189,Unlawful assembly.,190. Every member of unlawful assembly guilty of offence committed in prosecution of common
189,Unlawful assembly.—(1) An assembly of five or more persons is designated an “unlawful,"assembly”, if the common object of the persons composing that assembly is—"
190,Every member of unlawful assembly guilty of offence committed in prosecution of,common object.—If an offence is committed by any member of an unlawful assembly in prosecution of
191,"Rioting.—(1) Whenever force or violence is used by an unlawful assembly, or by any member","thereof, in prosecution of the common object of such assembly, every member of such assembly is guilty"
191,Rioting.,192. Wantonly giving provocation with intent to cause riot-if rioting be committed; if not
192,Wantonly giving provocation with intent to cause riot-if rioting be committed; if not,"committed.—Whoever malignantly, or wantonly by doing anything which is illegal, gives provocation to"
193,"Liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes place.",194. Affray.
193,"Liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes","place.—(1) Whenever any unlawful assembly or riot takes place, the owner or occupier of the land upon"
194,"Affray.—(1) When two or more persons, by fighting in a public place, disturb the public peace,",they are said to commit an affray.
195,"Assaulting or obstructing public servant when suppressing riot, etc.","196. Promoting enmity between different groups on grounds of religion, race, place of birth,"
195,"Assaulting or obstructing public servant when suppressing riot, etc.—(1) Whoever assaults",or obstructs any public servant or uses criminal force on any public servant in the discharge of his duty as
196,"Promoting enmity between different groups on grounds of religion, race, place of birth,","residence, language, etc., and doing acts prejudicial to maintenance of harmony.—(1) Whoever—"
197,"Imputations, assertions prejudicial to national integration.",CHAPTER XII
197,"Imputations, assertions prejudicial to national integration.—(1) Whoever, by words either",spoken or written or by signs or by visible representations or through electronic communication or
198,"Public servant disobeying law, with intent to cause injury to any person.—Whoever, being a","public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct"
198,"Public servant disobeying law, with intent to cause injury to any person.",199. Public servant disobeying direction under law.
199,"Public servant disobeying direction under law.—Whoever, being a public servant,—",(a) knowingly disobeys any direction of the law which prohibits him from requiring the
200,"Punishment for non-treatment of victim.—Whoever, being in charge of a hospital, public or","private, whether run by the Central Government, the State Government, local bodies or any other person,"
200,Punishment for non-treatment of victim.,201. Public servant framing an incorrect document with intent to cause injury.
201,"Public servant framing an incorrect document with intent to cause injury.—Whoever,","being a public servant, and being, as such public servant, charged with the preparation or translation of"
202,"Public servant unlawfully engaging in trade.—Whoever, being a public servant, and being","legally bound as such public servant not to engage in trade, engages in trade, shall be punished with"
202,Public servant unlawfully engaging in trade.,203. Public servant unlawfully buying or bidding for property.
203,"Public servant unlawfully buying or bidding for property.—Whoever, being a public","servant, and being legally bound as such public servant, not to purchase or bid for certain property,"
204,Personating a public servant.—Whoever pretends to hold any particular office as a public,"servant, knowing that he does not hold such office or falsely personates any other person holding such"
204,Personating a public servant.,205. Wearing garb or carrying token used by public servant with fraudulent intent.
205,"Wearing garb or carrying token used by public servant with fraudulent intent.—Whoever,","not belonging to a certain class of public servants, wears any garb or carries any token resembling any"
206,Absconding to avoid service of summons or other proceeding.—Whoever absconds in order,"to avoid being served with a summons, notice or order proceeding from any public servant legally"
206,Absconding to avoid service of summons or other proceeding.,"207. Preventing service of summons or other proceeding, or preventing publication thereof."
207,"Preventing service of summons or other proceeding, or preventing publication thereof.—","Whoever in any manner intentionally prevents the serving on himself, or on any other person, of any"
208,"Non-attendance in obedience to an order from public servant.—Whoever, being legally","bound to attend in person or by an agent at a certain place and time in obedience to a summons, notice,"
208,Non-attendance in obedience to an order from public servant.,209. Non-appearance in response to a proclamation under section 84 of Bharatiya Nagarik
209,Non-appearance in response to a proclamation under section 84 of Bharatiya Nagarik,"Suraksha Sanhita, 2023.—Whoever fails to appear at the specified place and the specified time as"
210,Omission to produce document or electronic record to public servant by person legally,"bound to produce it.—Whoever, being legally bound to produce or deliver up any document or"
211,Omission to give notice or information to public servant by person legally bound to give it.,212. Furnishing false information.
211,Omission to give notice or information to public servant by person legally bound to give,"it.—Whoever, being legally bound to give any notice or to furnish information on any subject to any"
212,"Furnishing false information.—Whoever, being legally bound to furnish information on any","subject to any public servant, as such, furnishes, as true, information on the subject which he knows or"
213,Refusing oath or affirmation when duly required by public servant to make it.,214. Refusing to answer public servant authorised to question.
213,Refusing oath or affirmation when duly required by public servant to make it.—Whoever,"refuses to bind himself by an oath or affirmation to state the truth, when required so to bind himself by a"
214,"Refusing to answer public servant authorised to question.—Whoever, being legally bound to","state the truth on any subject to any public servant, refuses to answer any question demanded of him"
215,Refusing to sign statement.,216. False statement on oath or affirmation to public servant or person authorised to administer
215,"Refusing to sign statement.—Whoever refuses to sign any statement made by him, when",required to sign that statement by a public servant legally competent to require that he shall sign that
216,False statement on oath or affirmation to public servant or person authorised to,"administer an oath or affirmation.—Whoever, being legally bound by an oath or affirmation to state"
217,"False information, with intent to cause public servant to use his lawful power to injury of",another person.
217,"False information, with intent to cause public servant to use his lawful power to injury of",another person—Whoever gives to any public servant any information which he knows or believes to be
218,Resistance to taking of property by lawful authority of a public servant.—Whoever offers,"any resistance to the taking of any property by the lawful authority of any public servant, knowing or"
218,Resistance to taking of property by lawful authority of a public servant.,219. Obstructing sale of property offered for sale by authority of public servant.
219,Obstructing sale of property offered for sale by authority of public servant.—Whoever,"intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant,"
220,Illegal purchase or bid for property offered for sale by authority of public servant.—,"Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or"
220,Illegal purchase or bid for property offered for sale by authority of public servant.,221. Obstructing public servant in discharge of public functions.
221,Obstructing public servant in discharge of public functions.—Whoever voluntarily obstructs,"any public servant in the discharge of his public functions, shall be punished with imprisonment of either"
222,"Omission to assist public servant when bound by law to give assistance.—Whoever, being","bound by law to render or furnish assistance to any public servant in the execution of his public duty,"
222,Omission to assist public servant when bound by law to give assistance.,223. Disobedience to order duly promulgated by public servant.
223,"Disobedience to order duly promulgated by public servant.—Whoever, knowing that, by an","order promulgated by a public servant lawfully empowered to promulgate such order, he is directed to"
224,Threat of injury to public servant.—Whoever holds out any threat of injury to any public,"servant, or to any person in whom he believes that public servant to be interested, for the purpose of"
224,Threat of injury to public servant.,225. Threat of injury to induce person to refrain from applying for protection to public servant.
225,Threat of injury to induce person to refrain from applying for protection to public,servant.—Whoever holds out any threat of injury to any person for the purpose of inducing that person
226,Attempt to commit suicide to compel or restrain exercise of lawful power.,CHAPTER XIV
226,Attempt to commit suicide to compel or restrain exercise of lawful power.—Whoever,attempts to commit suicide with the intent to compel or restrain any public servant from discharging his
227,"Giving false evidence.—Whoever, being legally bound by an oath or by an express provision of","law to state the truth, or being bound by law to make a declaration upon any subject, makes any statement"
227,Giving false evidence.,228. Fabricating false evidence.
228,Fabricating false evidence.—Whoever causes any circumstance to exist or makes any false,"entry in any book or record, or electronic record or makes any document or electronic record containing a"
229,Punishment for false evidence.—(1) Whoever intentionally gives false evidence in any stage,"of a judicial proceeding, or fabricates false evidence for the purpose of being used in any stage of a"
229,Punishment for false evidence.,230. Giving or fabricating false evidence with intent to procure conviction of capital offence.
230,Giving or fabricating false evidence with intent to procure conviction of capital offence.—,"(1) Whoever gives or fabricates false evidence, intending thereby to cause, or knowing it to be likely that"
231,Giving or fabricating false evidence with intent to procure conviction of offence punishable,with imprisonment for life or imprisonment.
231,Giving or fabricating false evidence with intent to procure conviction of offence punishable,with imprisonment for life or imprisonment.—Whoever gives or fabricates false evidence intending
232,Threatening any person to give false evidence.—(1) Whoever threatens another with any,"injury to his person, reputation or property or to the person or reputation of any one in whom that person"
232,Threatening any person to give false evidence.,233. Using evidence known to be false.
233,Using evidence known to be false.—Whoever corruptly uses or attempts to use as true or,"genuine evidence any evidence which he knows to be false or fabricated, shall be punished in the same"
234,Issuing or signing false certificate.,235. Using as true a certificate known to be false.
234,Issuing or signing false certificate.—Whoever issues or signs any certificate required by law to,"be given or signed, or relating to any fact of which such certificate is by law admissible in evidence,"
235,Using as true a certificate known to be false.—Whoever corruptly uses or attempts to use any,"such certificate as a true certificate, knowing the same to be false in any material point, shall be punished"
236,"False statement made in declaration which is by law receivable as evidence.—Whoever, in","any declaration made or subscribed by him, which declaration any Court or any public servant or other"
236,False statement made in declaration which is by law receivable as evidence.,237. Using as true such declaration knowing it to be false.
237,Using as true such declaration knowing it to be false.—Whoever corruptly uses or attempts to,"use as true any such declaration, knowing the same to be false in any material point, shall be punished in"
238,"Causing disappearance of evidence of offence, or giving false information to screen","offender.—Whoever, knowing or having reason to believe that an offence has been committed, causes"
238,"Causing disappearance of evidence of offence, or giving false information to screen",offender.
239,Intentional omission to give information of offence by person bound to inform.,240. Giving false information respecting an offence committed.
239,"Intentional omission to give information of offence by person bound to inform.—Whoever,","knowing or having reason to believe that an offence has been committed, intentionally omits to give any"
240,"Giving false information respecting an offence committed.—Whoever, knowing or having","reason to believe that an offence has been committed, gives any information respecting that offence"
241,Destruction of document or electronic record to prevent its production as evidence.,242. False personation for purpose of act or proceeding in suit or prosecution.
242,False personation for purpose of act or proceeding in suit or prosecution.—Whoever falsely,"personates another, and in such assumed character makes any admission or statement, or confesses"
243,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in,"execution.—Whoever fraudulently removes, conceals, transfers or delivers to any person any property or"
243,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in,execution.
244,Fraudulent claim to property to prevent its seizure as forfeited or in execution.,245. Fraudulently suffering decree for sum not due.
244,Fraudulent claim to property to prevent its seizure as forfeited or in execution.—Whoever,"fraudulently accepts, receives or claims any property or any interest therein, knowing that he has no right"
245,Fraudulently suffering decree for sum not due.—Whoever fraudulently causes or suffers a,decree or order to be passed against him at the suit of any person for a sum not due or for a larger sum
246,"Dishonestly making false claim in Court.—Whoever fraudulently or dishonestly, or with","intent to injure or annoy any person, makes in a Court any claim which he knows to be false, shall be"
246,Dishonestly making false claim in Court.,247. Fraudulently obtaining decree for sum not due.
247,Fraudulently obtaining decree for sum not due.—Whoever fraudulently obtains a decree or,"order against any person for a sum not due, or for a larger sum than is due or for any property or interest"
248,False charge of offence made with intent to injure.,249. Harbouring offender.
248,"False charge of offence made with intent to injure.—Whoever, with intent to cause injury to","any person, institutes or causes to be instituted any criminal proceeding against that person, or falsely"
249,"Harbouring offender.—Whenever an offence has been committed, whoever harbours or","conceals a person whom he knows or has reason to believe to be the offender, with the intention of"
250,"Taking gift, etc., to screen an offender from punishment.—Whoever accepts or attempts to","obtain, or agrees to accept, any gratification for himself or any other person, or any restitution of property"
250,"Taking gift, etc., to screen an offender from punishment.",251. Offering gift or restoration of property in consideration of screening offender.
251,Offering gift or restoration of property in consideration of screening offender.—Whoever,"gives or causes, or offers or agrees to give or cause, any gratification to any person, or restores or causes"
252,"Taking gift to help to recover stolen property, etc.",253. Harbouring offender who has escaped from custody or whose apprehension has been
252,"Taking gift to help to recover stolen property, etc.—Whoever takes or agrees or consents to",take any gratification under pretence or on account of helping any person to recover any movable
253,Harbouring offender who has escaped from custody or whose apprehension has been,"ordered.—Whenever any person convicted of or charged with an offence, being in lawful custody for"
254,Penalty for harbouring robbers or dacoits.,255. Public servant disobeying direction of law with intent to save person from punishment or
254,"Penalty for harbouring robbers or dacoits.—Whoever, knowing or having reason to believe","that any persons are about to commit or have recently committed robbery or dacoity, harbours them or"
255,—Public servant disobeying direction of law with intent to save person from punishment or,"property from forfeiture.—Whoever, being a public servant, knowingly disobeys any direction of the"
256,Public servant framing incorrect record or writing with intent to save person from,punishment or property from forfeiture.
256,Public servant framing incorrect record or writing with intent to save person from,"punishment or property from forfeiture.—Whoever, being a public servant, and being as such public"
257,"Public servant in judicial proceeding corruptly making report, etc., contrary to law.—","Whoever, being a public servant, corruptly or maliciously makes or pronounces in any stage of a judicial"
257,"Public servant in judicial proceeding corruptly making report, etc., contrary to law.",258. Commitment for trial or confinement by person having authority who knows that he is
258,Commitment for trial or confinement by person having authority who knows that he is,"acting contrary to law.—Whoever, being in any office which gives him legal authority to commit"
259,Intentional omission to apprehend on part of public servant bound to apprehend.,260. Intentional omission to apprehend on part of public servant bound to apprehend person
259,Intentional omission to apprehend on part of public servant bound to apprehend.—,"Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in"
260,Intentional omission to apprehend on part of public servant bound to apprehend person,"under sentence or lawfully committed.—Whoever, being a public servant, legally bound as such public"
261,"Escape from confinement or custody negligently suffered by public servant.—Whoever,",being a public servant legally bound as such public servant to keep in confinement any person charged
261,Escape from confinement or custody negligently suffered by public servant.,262. Resistance or obstruction by a person to his lawful apprehension.
262,Resistance or obstruction by a person to his lawful apprehension.—Whoever intentionally,offers any resistance or illegal obstruction to the lawful apprehension of himself for any offence with
263,Resistance or obstruction to lawful apprehension of another person.,"264. Omission to apprehend, or sufferance of escape, on part of public servant, in cases not"
263,"Resistance or obstruction to lawful apprehension of another person.—Whoever,",intentionally offers any resistance or illegal obstruction to the lawful apprehension of any other person for
264,"Omission to apprehend, or sufferance of escape, on part of public servant, in cases not","otherwise provided for.—Whoever, being a public servant legally bound as such public servant to"
265,Resistance or obstruction to lawful apprehension or escape or rescue in cases not otherwise,"provided for.—Whoever, in any case not provided for in section 262 or section 263 or in any other law"
265,Resistance or obstruction to lawful apprehension or escape or rescue in cases not otherwise,provided for.
266,Violation of condition of remission of punishment.,267. Intentional insult or interruption to public servant sitting in judicial proceeding.
266,"Violation of condition of remission of punishment.—Whoever, having accepted any","conditional remission of punishment, knowingly violates any condition on which such remission was"
267,Intentional insult or interruption to public servant sitting in judicial proceeding.—,"Whoever, intentionally offers any insult, or causes any interruption to any public servant, while such"
268,Personation of assessor.,269. Failure by person released on bail bond or bond to appear in Court.
268,"Personation of assessor.—Whoever, by personation or otherwise, shall intentionally cause, or","knowingly suffer himself to be returned, empanelled or sworn as an assessor in any case in which he"
269,"Failure by person released on bail bond or bond to appear in Court.—Whoever, having","been charged with an offence and released on bail bond or on bond, fails without sufficient cause (the"
270,Public nuisance.,271. Negligent act likely to spread infection of disease dangerous to life.
270,Public nuisance.—A person is guilty of a public nuisance who does any act or is guilty of an,"illegal omission which causes any common injury, danger or annoyance to the public or to the people in"
271,Negligent act likely to spread infection of disease dangerous to life.—Whoever unlawfully or,"negligently does any act which is, and which he knows or has reason to believe to be, likely to spread the"
272,Malignant act likely to spread infection of disease dangerous to life.,273. Disobedience to quarantine rule.
272,Malignant act likely to spread infection of disease dangerous to life.—Whoever malignantly,"does any act which is, and which he knows or has reason to believe to be, likely to spread the infection of"
273,Disobedience to quarantine rule.—Whoever knowingly disobeys any rule made by the,"Government for putting any mode of transport into a state of quarantine, or for regulating the intercourse"
274,Adulteration of food or drink intended for sale.—Whoever adulterates any article of food or,"drink, so as to make such article noxious as food or drink, intending to sell such article as food or drink,"
274,Adulteration of food or drink intended for sale.,275. Sale of noxious food or drink.
275,"Sale of noxious food or drink.—Whoever sells, or offers or exposes for sale, as food or drink,","any article which has been rendered or has become noxious, or is in a state unfit for food or drink,"
276,Adulteration of drugs.,277. Sale of adulterated drugs.
276,Adulteration of drugs.—Whoever adulterates any drug or medical preparation in such a,"manner as to lessen the efficacy or change the operation of such drug or medical preparation, or to make"
277,"Sale of adulterated drugs.—Whoever, knowing any drug or medical preparation to have been","adulterated in such a manner as to lessen its efficacy, to change its operation, or to render it noxious, sells"
278,"Sale of drug as a different drug or preparation.—Whoever knowingly sells, or offers or","exposes for sale, or issues from a dispensary for medicinal purposes, any drug or medical preparation, as"
278,Sale of drug as a different drug or preparation.,279. Fouling water of public spring or reservoir.
279,Fouling water of public spring or reservoir.—Whoever voluntarily corrupts or fouls the water,"of any public spring or reservoir, so as to render it less fit for the purpose for which it is ordinarily used,"
280,Making atmosphere noxious to health.—Whoever voluntarily vitiates the atmosphere in any,place so as to make it noxious to the health of persons in general dwelling or carrying on business in the
280,Making atmosphere noxious to health.,281. Rash driving or riding on a public way.
281,"Rash driving or riding on a public way.—Whoever drives any vehicle, or rides, on any public","way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to"
